views,mature,life_time,created_at,updated_at,numeric_id,dead_account,language,affiliate,community_label_leiden
26685,0,442,2017-07-27,2018-10-12,130671,0,FR,0,1
634980,0,1354,2015-01-27,2018-10-12,45828,0,FR,0,1
9456,1,1349,2015-01-31,2018-10-11,111730,0,DE,1,0
1781145,0,1256,2015-05-05,2018-10-12,32079,0,ES,0,2
8553,0,676,2016-12-05,2018-10-12,120723,0,ES,0,2
18210,0,1876,2013-08-23,2018-10-12,157771,0,CS,1,89
12687,0,1286,2015-04-05,2018-10-12,14711,0,CS,1,89
87235,0,1380,2015-01-01,2018-10-12,23095,0,KO,0,38
5826,0,463,2017-07-06,2018-10-12,115610,0,ES,1,2
12133,1,825,2016-07-04,2018-10-07,147161,0,FR,1,1
26071,1,1145,2015-08-24,2018-10-12,146469,0,CS,1,89
162078,1,2149,2012-11-23,2018-10-12,28,0,DE,1,0
751,0,627,2017-01-22,2018-10-11,48756,0,ES,0,2
21742,0,1895,2013-07-22,2018-09-29,114716,0,RU,0,3
2741,0,2537,2011-10-29,2018-10-09,13123,0,EN,0,28
1209,0,2060,2013-01-29,2018-09-20,62732,0,OTHER,0,2
1088,0,861,2016-05-27,2018-10-05,71487,0,DE,0,0
12339,0,1200,2015-06-30,2018-10-12,36310,0,DE,0,0
59635,0,1367,2015-01-14,2018-10-12,42753,0,JA,1,42
4882,1,1822,2013-10-10,2018-10-06,150784,0,FI,0,81
19580,1,2522,2011-11-16,2018-10-12,49465,0,EN,1,28
445,1,1624,2014-04-25,2018-10-05,136507,0,FR,0,1
6454,0,1685,2014-02-23,2018-10-05,114900,0,ZH,0,8
15976,1,2927,2010-10-05,2018-10-10,40167,0,EN,1,28
1044023,1,2181,2012-10-22,2018-10-12,5051,0,DE,0,0
54076,0,1994,2013-04-24,2018-10-09,10573,0,ZH,1,8
91026,1,1445,2014-10-28,2018-10-12,9839,0,DE,1,0
457747,1,2240,2012-08-24,2018-10-12,160593,0,RU,0,3
5367,1,701,2016-11-07,2018-10-09,37761,0,FR,0,1
144323,0,2159,2012-11-13,2018-10-12,151622,0,RU,0,3
27680,0,1734,2014-01-12,2018-10-12,13128,0,PL,1,57
848,0,1973,2013-03-28,2018-08-22,56406,0,EN,0,8
5321,1,2032,2013-03-20,2018-10-12,114647,0,SV,1,50
13199,0,1429,2014-11-13,2018-10-12,26840,0,RU,1,3
6188,1,2622,2011-08-07,2018-10-11,74466,0,EN,0,28
1495209,1,1133,2015-09-05,2018-10-12,109260,0,DE,0,0
7128,1,1197,2015-07-03,2018-10-12,28030,0,DE,0,0
