Node,Community
98343,27
141493,142
58736,83
140703,43
151401,136
157118,27
125430,27
3635,72
495,7
116648,63
1679,71
123861,27
89631,83
113417,30
145281,117
10408,126
3181,116
40675,169
95914,63
155127,174
124827,29
16783,90
122269,24
87516,27
106969,27
10372,142
66893,27
75403,90
143081,70
44326,16
95697,37
48850,58
59892,70
159097,29
63150,168
90148,27
78899,27
30520,142
54230,27
90697,87
36837,29
30061,23
54013,27
157585,17
62841,16
105041,72
1966,37
80986,31
87129,10
151230,142
17048,19
65788,100
64605,184
91680,8
84392,142
141930,22
79768,164
83757,220
109678,28
37182,7
134405,5
103123,21
66786,16
144898,12
24321,71
87479,7
17293,37
50129,7
50511,8
8216,6
108538,32
105333,58
134952,63
60384,159
150905,65
113359,4
53279,19
73900,27
9068,17
133924,42
49634,75
54848,8
147773,33
42097,24
73017,31
79010,43
18259,10
111738,56
55012,65
5587,18
138216,37
131033,75
41764,83
129869,71
96169,79
155216,37
131128,88
34043,20
52154,43
34817,27
64855,10
135417,37
359,24
1956,118
55541,29
39517,142
131812,106
114046,77
154601,29
156488,41
52906,147
102843,8
111532,100
118951,194
53087,27
54642,17
5240,100
134332,43
14671,42
47687,7
47048,6
17255,169
45772,92
152100,21
8872,7
65630,50
84308,18
128440,76
3493,19
700,2
135261,68
17661,37
132505,29
105850,22
78833,29
58134,60
80211,22
91804,89
60169,113
102090,220
122722,176
77329,10
167840,57
37876,142
2524,27
149299,137
27453,46
9936,8
112252,27
38671,19
26226,100
59272,50
33318,27
11953,141
7104,31
61944,32
136819,7
117234,140
36296,37
97963,73
69910,88
140674,34
99543,27
26552,37
80790,127
81288,103
51130,29
10261,42
38029,61
37801,45
149952,22
48309,7
64696,7
70202,111
119034,196
20601,10
74593,202
68690,7
120323,11
106755,43
49602,4
29746,29
28726,71
11751,33
30196,56
86174,65
2903,81
69855,142
110498,7
69236,142
65778,53
155464,63
16166,57
54774,63
12882,7
51721,112
16379,8
88215,63
84599,138
31547,98
128199,21
43541,99
105143,7
17691,7
144193,8
133636,15
35713,48
150604,96
31163,12
30361,142
22366,57
145708,8
82640,66
2085,19
76140,20
62585,104
100272,92
47345,16
78557,35
63538,27
61562,104
38012,78
151216,4
80205,29
60360,85
27294,41
81163,8
119611,78
80239,6
8730,211
44855,27
52199,7
68518,27
33520,43
61584,57
71260,27
46074,57
72301,17
5536,94
132646,7
108077,89
131023,27
31988,6
100109,2
115024,37
