Node,Community
98343,28
141493,144
58736,61
140703,41
151401,126
157118,28
125430,28
3635,221
495,5
116648,49
1679,62
123861,28
89631,61
113417,35
145281,104
10408,62
3181,122
40675,148
95914,49
155127,185
124827,59
16783,25
122269,27
87516,28
106969,28
10372,144
66893,28
75403,25
143081,59
44326,22
95697,97
48850,23
59892,59
159097,25
63150,43
90148,28
78899,28
30520,144
54230,28
90697,88
36837,207
30061,11
54013,28
157585,26
62841,9
105041,221
1966,72
80986,251
87129,12
151230,144
17048,19
65788,95
64605,189
91680,158
84392,144
141930,22
79768,39
83757,213
109678,11
37182,5
134405,4
103123,24
66786,9
144898,119
24321,62
87479,5
17293,72
50129,5
50511,8
8216,7
108538,192
105333,13
134952,49
60384,163
150905,63
113359,6
53279,19
73900,28
9068,23
133924,38
49634,71
54848,8
147773,47
42097,27
73017,253
79010,41
18259,12
111738,53
55012,144
5587,21
138216,72
131033,71
41764,61
129869,62
96169,65
155216,62
131128,86
34043,16
52154,41
34817,41
64855,12
135417,72
359,27
1956,83
55541,25
39517,144
131812,111
114046,80
154601,25
156488,36
52906,149
102843,8
111532,95
118951,45
53087,28
54642,23
5240,95
134332,41
14671,38
47687,5
47048,7
17255,43
45772,87
152100,24
8872,5
65630,67
84308,21
128440,9
3493,19
700,2
135261,42
17661,72
132505,207
105850,22
78833,25
58134,75
80211,22
91804,83
60169,171
102090,213
122722,192
77329,12
167840,49
37876,101
2524,28
149299,139
27453,77
9936,8
112252,28
38671,19
26226,95
59272,67
33318,28
11953,87
7104,16
61944,51
136819,5
117234,134
36296,5
97963,69
69910,86
140674,45
99543,28
26552,102
80790,121
81288,100
51130,25
10261,20
38029,60
37801,232
149952,22
48309,5
64696,5
70202,45
119034,141
20601,12
74593,167
68690,5
120323,13
106755,41
49602,6
29746,25
28726,62
11751,47
30196,243
86174,63
2903,76
69855,144
110498,5
69236,20
65778,48
155464,49
16166,137
54774,49
12882,5
51721,113
16379,8
88215,49
84599,124
31547,144
128199,24
43541,97
105143,5
17691,5
144193,8
133636,10
35713,67
150604,91
31163,14
30361,144
22366,60
145708,8
82640,56
2085,19
76140,16
62585,222
100272,87
47345,9
78557,32
63538,28
61562,106
38012,47
151216,6
80205,25
60360,50
27294,36
81163,8
119611,64
80239,7
8730,159
44855,28
52199,5
68518,28
33520,41
61584,81
71260,28
46074,143
72301,26
5536,92
132646,5
108077,83
131023,28
31988,7
100109,2
115024,72
69605,75
23481,25
73245,27
134666,20
48554,15
16475,28
52703,224
57603,25
114099,119
31120,63
81147,30
65805,18
118233,149
52547,28
113066,83
63416,7
115864,4
89781,4
89324,98
41667,26
115865,26
75711,47
103568,14
87147,25
29633,144
27765,5
81028,6
98236,240
91424,40
82834,8
155787,23
164941,57
96696,45
74091,96
81714,20
124065,171
46035,153
61421,65
121294,49
156265,90
76441,117
101423,149
110198,8
21879,47
49371,99
86567,28
125348,6
12508,49
127055,74
142328,41
133775,96
67225,28
73899,79
86751,27
51733,9
87545,38
62849,77
53021,12
17801,68
166734,8
26148,8
96638,114
152066,34
36293,25
90205,36
35655,69
58379,78
154805,69
62727,66
97291,31
28073,178
67856,107
100124,8
2719,2
146151,36
96309,28
127721,9
129564,97
152481,133
104201,95
2755,28
23053,36
144342,11
33631,14
15881,36
4649,144
20811,5
105394,8
103500,8
91400,12
83027,63
80037,156
77316,158
69373,3
55505,33
96525,27
163487,144
6212,13
16226,52
11424,63
99674,66
80020,70
63000,28
75162,6
111252,102
23394,60
7115,30
17553,116
85906,36
12066,5
49336,23
51652,40
531,87
73580,32
78176,168
27971,88
138305,97
7484,141
84905,8
52205,122
110491,13
67900,104
20108,70
149150,165
142565,144
137945,129
144078,8
86757,12
162808,5
18310,173
101021,105
89262,47
32261,38
140650,49
65551,12
69317,69
125444,26
122186,57
85567,156
143890,41
109668,27
133388,5
22950,31
36881,87
140117,25
66933,28
150079,164
148757,182
46977,91
21753,41
63936,14
79615,148
48184,26
4450,28
62798,20
19388,49
121880,26
50592,107
142502,125
136561,41
152079,81
99423,19
782,5
113098,5
52338,10
137126,25
120774,95
92439,28
125269,4
164441,49
31362,69
99829,27
116920,21
114395,5
110249,124
30851,62
30852,178
119259,49
52011,97
97006,51
166230,4
145911,6
11628,87
162270,9
69584,28
163428,67
124061,49
13233,4
67478,134
46550,171
6513,155
119292,14
71355,19
17114,25
47917,4
55343,25
43534,19
158608,5
88758,28
97471,80
4774,143
90139,5
22705,5
45596,27
166419,28
41015,6
27248,20
76279,28
6190,34
57234,79
12521,72
39092,5
34750,41
16162,37
157006,47
92614,30
92339,8
51665,32
14648,144
44087,144
62741,5
8433,36
136670,144
82672,56
43133,59
39951,48
30092,22
12612,15
114483,26
158691,97
113201,41
100771,25
7950,49
151799,8
153763,27
95505,28
117377,27
151453,22
122526,32
50881,63
70078,172
71605,47
156481,8
55748,58
160823,72
26024,5
156357,14
7991,42
66451,68
119709,13
30036,53
25256,5
98676,15
68997,36
44747,28
24845,21
84235,74
43197,70
83472,25
24744,72
84502,65
108386,28
140327,13
129570,62
118462,136
85413,45
131116,28
56877,14
4426,35
120398,21
93407,8
28980,144
153354,97
119139,139
32022,28
92303,8
124323,5
18306,134
119742,2
125024,47
103813,25
94074,5
30947,26
2317,35
116876,109
80919,28
157744,49
63923,22
56720,7
10141,89
58365,69
74321,64
121877,40
141308,253
93358,69
9245,50
113845,45
25817,34
139226,22
40604,80
25376,28
31216,5
12739,67
73555,13
33872,194
124055,102
21991,229
120136,110
91114,31
70156,111
18137,72
19324,13
46405,144
154640,49
103728,8
61504,24
968,31
85669,28
45816,9
30293,0
99274,131
69819,118
2097,31
51176,144
26599,25
14199,68
10819,48
86341,14
89259,27
117239,144
102750,72
81776,98
104204,27
85740,27
17187,5
109835,26
102717,36
88205,25
87328,20
72850,4
17008,67
9408,22
79913,31
22970,17
116900,97
132818,139
74053,45
20683,48
121282,34
20401,102
36093,143
164477,17
23120,8
70775,144
77801,72
64241,41
142851,139
23875,144
