Node,Community
29697,122
17942,33
118474,43
2308,166
100749,41
147562,3
22030,57
65480,9
50066,1
7487,102
134819,42
21848,7
83413,4
86855,4
14680,86
101380,29
150046,7
89621,206
139270,10
35107,33
145129,19
24474,181
129769,69
59993,23
68193,146
8964,172
20652,96
32627,41
156270,16
643,137
122715,5
18786,98
55823,10
99164,137
71229,10
69296,5
78550,116
155754,72
155435,64
84655,40
70723,41
30714,0
28593,89
101738,4
156239,6
16861,59
65976,40
96123,5
137947,38
109371,59
153478,6
36094,48
105534,12
45152,15
100947,11
31232,1
131434,53
27326,10
48815,2
99872,1
134415,26
92401,8
98384,19
69630,99
131273,1
93591,74
1919,10
8639,6
19797,183
153610,12
124674,59
156794,137
109701,54
16327,29
46299,70
28907,8
154639,3
160516,53
48356,31
125377,34
122333,69
165262,122
4822,131
111408,1
146953,14
93007,8
122541,0
56649,106
109605,91
126254,67
31128,76
10836,3
86581,25
57930,158
24882,158
161173,17
7242,42
148134,43
129220,16
34923,119
116381,3
104527,67
147424,69
52902,109
46290,58
135560,131
145593,12
90403,94
76775,20
53966,148
45545,1
20845,30
140383,54
95300,35
37493,48
145521,103
13006,31
2536,8
158589,40
162462,20
122215,153
139631,1
5462,148
158794,31
19291,34
129787,6
97415,143
107964,24
123482,114
143895,81
142048,67
39674,126
126638,1
90643,74
89316,28
76602,5
164368,37
126334,2
118368,4
163275,21
72421,24
26002,55
46877,4
154176,3
99747,119
12869,74
34682,55
56314,52
120838,84
6985,65
103589,91
50344,72
48866,0
79953,11
11738,0
45213,26
142640,78
105794,204
13031,68
107121,65
139642,79
152979,19
69481,11
16950,93
127577,47
109015,4
107130,3
59383,4
16843,101
131160,14
161279,119
15733,130
45293,61
76877,55
2264,14
117350,120
103565,15
44619,9
158572,5
147452,26
100470,25
138895,76
153049,171
92638,38
165004,59
114182,5
161301,46
94743,30
144958,20
93437,4
134563,4
158382,25
156320,5
70466,62
104476,10
6479,121
26025,13
57792,20
75215,191
95012,35
155251,114
116791,81
116734,9
56064,225
35977,0
25458,8
6171,5
80403,34
98390,32
164642,35
5803,2
149024,7
142633,70
57530,82
9773,158
111147,3
7510,2
78356,15
116404,40
111058,24
82120,4
59508,77
65730,126
101280,37
36731,51
110601,38
108067,27
75578,2
146828,20
109105,88
1436,65
39197,5
30711,28
119678,84
39066,0
151829,0
138980,22
63656,49
2212,5
19898,0
155889,51
138985,86
103037,10
129182,29
143721,7
50193,174
159685,0
89922,45
81819,3
149134,63
153655,3
4478,1
69,196
164445,128
38162,5
41840,165
87809,36
39924,121
1130,14
165104,102
152458,13
88295,43
10317,55
142568,59
56877,14
133798,50
66910,8
137463,48
27245,68
122845,0
137957,16
15983,76
77280,174
93288,16
158320,23
7074,8
85455,55
77893,98
128168,60
53518,25
70820,87
126255,63
334,78
78699,23
37569,12
133159,44
128766,3
29073,28
10233,14
25385,50
49827,90
67896,3
33881,4
98329,58
120483,39
122071,12
9082,0
1300,3
46437,49
154539,105
10637,13
92529,2
129395,32
61948,118
30886,2
114833,121
116565,28
109993,0
53758,115
13627,6
2322,14
16318,97
67212,54
91760,17
1259,14
148857,56
55195,5
165962,9
141720,15
117857,56
75795,94
115110,17
86101,1
36158,29
94590,20
109938,12
140184,94
126627,75
98927,7
157730,0
81553,4
71217,18
43477,229
132731,3
100830,9
68525,3
155105,5
130105,29
1120,184
104567,11
147808,113
105886,1
34353,10
65932,74
131118,13
120776,1
72121,77
121452,49
94875,63
6494,28
30288,26
34029,11
67141,104
42598,6
3383,128
73225,15
104223,70
28367,19
120817,54
111874,96
71396,100
154033,41
53289,25
67274,159
119157,24
142182,72
124090,53
97196,109
164549,14
91983,16
22703,8
111847,94
138292,5
93795,4
12426,115
9111,4
155608,46
124194,174
73423,0
106786,38
89688,187
17406,41
80601,0
38041,76
92990,15
167857,3
87454,3
26207,58
109897,249
42819,54
166288,63
26308,15
15913,9
66669,93
58931,93
23228,14
52331,95
5167,42
42169,35
925,0
