Node,Community
98343,7
141493,1
58736,7
140703,7
151401,7
157118,7
125430,7
3635,1
495,1
116648,12
1679,1
123861,7
89631,7
113417,12
145281,7
10408,1
3181,7
40675,1
95914,12
155127,12
124827,7
16783,7
122269,12
87516,3
106969,1
10372,7
66893,7
75403,3
143081,7
44326,1
95697,1
48850,12
59892,7
159097,7
63150,7
90148,7
78899,7
30520,1
54230,7
90697,7
36837,7
30061,3
54013,7
157585,7
62841,1
105041,1
1966,1
80986,3
87129,12
151230,1
17048,12
65788,12
64605,12
91680,1
84392,1
141930,1
79768,1
83757,1
109678,11
37182,12
134405,11
103123,3
66786,1
144898,12
24321,1
87479,1
17293,1
50129,12
50511,1
8216,13
108538,1
105333,12
134952,12
60384,1
150905,12
113359,12
53279,1
73900,7
9068,7
133924,3
49634,12
54848,1
147773,1
42097,1
73017,3
79010,7
18259,12
111738,1
55012,1
5587,1
138216,1
131033,12
41764,12
129869,1
96169,3
155216,1
131128,3
34043,3
52154,7
34817,7
64855,12
135417,1
359,1
1956,7
55541,7
39517,1
131812,7
114046,7
154601,7
156488,1
52906,1
102843,1
111532,7
118951,7
53087,1
54642,7
5240,7
134332,7
14671,12
47687,1
47048,13
17255,7
45772,7
152100,11
8872,1
65630,12
84308,1
128440,1
3493,11
700,12
135261,3
17661,1
132505,7
105850,1
78833,7
58134,12
80211,7
91804,7
60169,7
102090,1
122722,12
77329,12
167840,12
37876,1
2524,3
149299,7
27453,7
9936,1
112252,3
38671,3
26226,7
59272,1
33318,3
11953,1
7104,3
61944,12
136819,1
117234,12
36296,1
97963,1
69910,12
140674,7
99543,3
26552,1
80790,12
81288,3
51130,7
10261,12
38029,12
37801,12
149952,12
48309,1
64696,1
70202,7
119034,12
20601,12
74593,7
68690,1
120323,12
106755,7
49602,12
29746,7
28726,1
11751,7
30196,1
86174,1
2903,7
69855,1
110498,1
69236,12
65778,12
155464,1
16166,1
54774,1
12882,1
51721,12
16379,1
88215,12
84599,1
31547,1
128199,11
43541,1
105143,1
17691,1
144193,1
133636,3
35713,11
150604,1
31163,1
30361,1
22366,1
145708,1
82640,7
2085,12
76140,3
62585,7
100272,7
47345,1
78557,12
63538,12
61562,7
38012,7
151216,12
80205,7
60360,12
27294,1
81163,1
119611,7
80239,13
8730,7
44855,1
52199,1
68518,3
33520,7
61584,12
71260,3
46074,1
72301,7
5536,7
132646,11
108077,7
131023,7
31988,13
100109,10
115024,1
69605,7
23481,1
73245,1
134666,12
48554,1
16475,3
52703,7
57603,7
114099,7
31120,7
81147,12
65805,1
118233,12
52547,12
113066,7
63416,13
115864,11
89781,11
89324,7
41667,7
115865,7
75711,1
103568,1
87147,7
29633,7
27765,1
81028,12
98236,3
91424,7
82834,1
155787,7
164941,3
96696,7
74091,12
81714,1
124065,7
46035,1
61421,3
121294,12
156265,8
76441,12
101423,1
110198,1
21879,7
49371,1
86567,7
125348,12
12508,7
127055,1
142328,7
133775,7
67225,1
73899,7
86751,11
51733,1
87545,12
62849,7
53021,12
17801,1
166734,1
26148,1
96638,1
152066,1
36293,7
90205,1
35655,1
58379,7
154805,12
62727,12
97291,7
28073,7
67856,12
100124,1
2719,3
146151,1
96309,3
127721,1
129564,12
152481,3
104201,1
2755,3
23053,12
144342,11
33631,1
15881,1
4649,1
20811,1
105394,1
103500,1
91400,12
83027,12
80037,1
77316,1
69373,0
55505,13
96525,1
163487,11
6212,12
16226,7
11424,1
99674,1
80020,1
63000,3
75162,12
111252,1
23394,12
7115,7
17553,16
85906,1
12066,3
49336,7
51652,1
531,7
73580,1
78176,1
27971,7
138305,1
7484,12
84905,1
52205,7
110491,12
67900,7
20108,1
149150,7
142565,1
137945,7
144078,1
86757,12
162808,1
18310,7
101021,12
89262,1
32261,12
140650,12
65551,12
69317,1
125444,7
122186,3
85567,7
143890,7
109668,1
133388,1
22950,12
36881,7
140117,1
66933,7
150079,7
148757,1
46977,12
21753,7
63936,1
79615,1
48184,12
4450,7
62798,12
19388,12
121880,7
50592,12
142502,12
136561,7
152079,12
99423,3
782,1
113098,1
52338,3
137126,7
120774,7
92439,3
125269,11
164441,1
31362,1
99829,1
116920,7
114395,1
110249,1
30851,1
30852,7
119259,1
52011,12
97006,1
166230,11
145911,12
11628,12
162270,1
69584,11
163428,1
124061,12
13233,11
67478,7
46550,7
6513,11
119292,12
71355,3
17114,7
47917,11
55343,7
43534,3
158608,1
88758,3
97471,7
4774,1
90139,1
22705,1
45596,3
166419,12
41015,12
27248,12
76279,7
6190,3
57234,7
12521,1
39092,1
34750,7
16162,17
157006,7
92614,11
92339,1
51665,12
14648,1
44087,7
62741,1
8433,1
136670,7
82672,7
43133,7
39951,12
30092,1
12612,1
114483,7
158691,1
113201,7
100771,7
7950,11
151799,1
153763,1
95505,7
117377,1
151453,1
122526,12
50881,1
70078,3
71605,7
156481,1
55748,12
160823,1
26024,1
156357,12
7991,3
66451,12
119709,12
30036,1
25256,1
98676,1
68997,1
44747,3
24845,7
84235,12
43197,12
83472,7
24744,1
84502,3
108386,3
140327,12
129570,1
118462,12
85413,7
131116,7
56877,1
4426,12
120398,1
93407,1
28980,1
153354,1
119139,7
32022,7
92303,1
124323,1
18306,1
119742,10
125024,7
103813,7
94074,1
30947,7
2317,12
116876,12
80919,11
157744,12
63923,3
56720,13
10141,12
58365,12
74321,7
121877,7
141308,11
93358,1
9245,3
113845,7
25817,1
139226,1
40604,7
25376,12
31216,1
12739,12
73555,12
33872,3
124055,1
21991,7
120136,1
91114,1
70156,1
18137,1
19324,12
46405,7
154640,1
103728,1
61504,7
968,12
85669,3
45816,1
30293,19
99274,12
69819,7
2097,7
51176,1
26599,7
14199,12
10819,12
86341,1
89259,1
117239,1
102750,1
81776,7
104204,1
85740,1
17187,1
109835,7
102717,12
88205,1
87328,12
72850,11
17008,7
9408,1
79913,12
22970,20
116900,1
