views,mature,life_time,created_at,updated_at,numeric_id,dead_account,language,affiliate,community_label_leiden
3598,1,2495,2011-12-11,2018-10-10,57683,0,ES,1,2
2567,0,664,2016-12-17,2018-10-12,97699,0,ES,0,2
1995,1,2052,2013-02-24,2018-10-08,123750,0,ES,0,2
132565,1,2301,2012-06-18,2018-10-06,88546,0,SV,1,53
74746,0,951,2016-03-05,2018-10-12,126567,0,TR,1,80
3517,1,215,2018-03-10,2018-10-11,13011,0,RU,1,3
12981,0,982,2016-02-01,2018-10-10,44574,0,FR,1,1
34640,0,909,2016-04-16,2018-10-12,82783,0,ZH,1,6
2975,0,1162,2015-08-06,2018-10-11,95911,0,ES,1,2
5902,0,1427,2014-11-15,2018-10-12,144088,0,DE,1,0
17551,0,1410,2014-12-02,2018-10-12,97139,0,DE,0,0
5165,0,266,2018-01-19,2018-10-12,128300,0,ES,1,2
3219,1,1275,2015-04-16,2018-10-12,11042,0,ES,1,2
404664,1,2295,2012-06-30,2018-10-12,26927,0,PT,0,13
1403571,1,1863,2013-09-05,2018-10-12,63829,0,PT,0,13
16246,0,653,2016-12-28,2018-10-12,106811,0,JA,0,44
1253,1,1527,2014-05-18,2018-07-23,37811,0,ZH,0,6
60599,1,1346,2015-02-04,2018-10-12,96709,0,FR,0,1
7092,1,494,2017-05-30,2018-10-06,124704,0,PT,1,13
6244,1,1403,2014-12-09,2018-10-12,164099,0,DE,1,0
2751,0,1870,2013-07-16,2018-08-29,120133,0,RU,0,3
22399,1,2586,2011-09-13,2018-10-12,73771,0,DE,0,0
41964,0,1117,2015-09-21,2018-10-12,119473,0,FR,1,1
91347,1,1445,2014-10-28,2018-10-12,79298,0,DE,1,0
1518,0,1683,2014-02-26,2018-10-06,32929,0,DE,0,0
4115,0,361,2017-10-15,2018-10-11,34100,0,HU,1,114
10694,0,678,2016-12-03,2018-10-12,61615,0,ZH,1,6
368882,1,2134,2012-12-08,2018-10-12,126403,0,DE,0,0
24243,0,1723,2014-01-23,2018-10-12,146169,0,JA,1,44
1925,0,1191,2015-06-17,2018-09-20,147122,0,DE,1,0
13411,1,1388,2014-12-22,2018-10-10,24927,0,CS,1,95
8588,0,1715,2014-01-31,2018-10-12,69256,0,FR,1,1
13131,0,738,2016-10-03,2018-10-11,91706,0,RU,1,3
9339,0,711,2016-10-31,2018-10-12,6637,0,PT,1,13
2302,1,1807,2013-10-11,2018-09-22,23387,0,RU,0,3
9358,0,1371,2015-01-10,2018-10-12,102653,0,NL,1,91
15152,1,376,2017-10-01,2018-10-12,163483,0,RU,1,3
8293,0,1259,2015-04-20,2018-09-30,124174,0,FR,1,1
64003,0,2279,2012-07-15,2018-10-11,45652,0,PT,0,13
3570,1,1670,2014-03-13,2018-10-08,164367,0,DE,1,0
6647,1,1436,2014-11-06,2018-10-12,165260,0,ES,1,2
893,0,647,2016-12-26,2018-10-04,13258,0,DE,0,0
7182,0,1364,2015-01-15,2018-10-10,52239,0,TH,1,86
8954,1,2235,2012-08-29,2018-10-12,137148,0,ZH,0,6
2595,0,497,2017-05-14,2018-09-23,160995,0,PT,0,13
1507,0,959,2016-02-26,2018-10-12,155036,0,DE,0,0
11657,0,1562,2014-07-01,2018-10-10,125479,0,PT,1,13
5825,0,1170,2015-07-26,2018-10-08,35797,0,RU,0,3
1079472,0,3112,2010-04-05,2018-10-12,63946,0,KO,0,36
30834,1,783,2016-08-20,2018-10-12,123634,0,DE,1,0
10892,1,1062,2015-10-18,2018-09-14,155818,0,FR,0,1
6160,0,1570,2014-06-25,2018-10-12,39042,0,JA,0,44
3041,0,1378,2015-01-03,2018-10-12,79177,0,ZH,1,6
27798,0,2855,2010-12-14,2018-10-08,60680,0,FR,1,1
1630,0,1236,2015-05-23,2018-10-10,28362,0,ES,1,2
75918,0,749,2016-09-23,2018-10-12,148352,0,RU,1,3
